producer_name,phone,latitude,longitude,website,country,city,zipCode,addressLines,designation_name,color,variety_name
Château Le Bosq,05 56 59 38 62,45.2531779,-0.7810974,http://www.dourthe.com/chateau/2-chateau-le-boscq,France,Saint estèphe,33180,Château Le Bosq,Saint-Estèphe Cru Bourgeois,rouge,Cabernet Sauvignon
Château Le Bosq,05 56 59 38 62,45.2531779,-0.7810974,http://www.dourthe.com/chateau/2-chateau-le-boscq,France,Saint estèphe,33180,Château Le Bosq,Saint-Estèphe Cru Bourgeois,rouge,Merlot
Château Lagrange ,05 56 73 38 38,45.1494974,-0.775314,https://www.chateau-lagrange.com/,France,Saint Julien Beycheville,33250,château Lagrange,Saint-Julien ,rouge,Cabernet Sauvignon
Château Lagrange ,05 56 73 38 38,45.1494974,-0.775314,https://www.chateau-lagrange.com/,France,Saint Julien Beycheville,33250,château Lagrange,Saint-Julien ,rouge,Merlot
Château Lagrange ,05 56 73 38 38,45.1494974,-0.775314,https://www.chateau-lagrange.com/,France,Saint Julien Beycheville,33250,château Lagrange,Saint-Julien ,rouge,Cabernet Franc
Château Lagrange ,05 56 73 38 38,45.1494974,-0.775314,https://www.chateau-lagrange.com/,France,Saint Julien Beycheville,33250,château Lagrange,Saint-Julien ,rouge,Carménère
Château Lagrange ,05 56 73 38 38,45.1494974,-0.775314,https://www.chateau-lagrange.com/,France,Saint Julien Beycheville,33250,château Lagrange,Saint-Julien ,rouge,Malbec
Château Lagrange ,05 56 73 38 38,45.1494974,-0.775314,https://www.chateau-lagrange.com/,France,Saint Julien Beycheville,33250,château Lagrange,Saint-Julien ,rouge,Petit Verdot
Château Branas Grand Poujeaux,05 56 58 93 30,45.0772172,-0.7440298,https://www.branasgrandpoujeaux.com/fr/,France,Moulis-en-Médoc,33480,3 Route de Grand Poujeaux,Moulis,rouge,Cabernet Sauvignon
Château Branas Grand Poujeaux,05 56 58 93 30,45.0772172,-0.7440298,https://www.branasgrandpoujeaux.com/fr/,France,Moulis-en-Médoc,33480,3 Route de Grand Poujeaux,Moulis,rouge,Merlot
Château Branas Grand Poujeaux,05 56 58 93 30,45.0772172,-0.7440298,https://www.branasgrandpoujeaux.com/fr/,France,Moulis-en-Médoc,33480,3 Route de Grand Poujeaux,Moulis,rouge,Cabernet Franc
Château Branas Grand Poujeaux,05 56 58 93 30,45.0772172,-0.7440298,https://www.branasgrandpoujeaux.com/fr/,France,Moulis-en-Médoc,33480,3 Route de Grand Poujeaux,Moulis,rouge,Carménère
Château Branas Grand Poujeaux,05 56 58 93 30,45.0772172,-0.7440298,https://www.branasgrandpoujeaux.com/fr/,France,Moulis-en-Médoc,33480,3 Route de Grand Poujeaux,Moulis,rouge,Malbec
Château Branas Grand Poujeaux,05 56 58 93 30,45.0772172,-0.7440298,https://www.branasgrandpoujeaux.com/fr/,France,Moulis-en-Médoc,33480,3 Route de Grand Poujeaux,Moulis,rouge,Petit Verdot
Château Belgrave ,05 56 35 53 00,45.1534951,-0.7900499,http://www.dourthe.com/chateau/1-chateau-belgrave,France,Saint-Laurent-Médoc,33112,Darrous,Haut-Médoc,rouge,Cabernet Sauvignon
Château Belgrave ,05 56 35 53 00,45.1534951,-0.7900499,http://www.dourthe.com/chateau/1-chateau-belgrave,France,Saint-Laurent-Médoc,33112,Darrous,Haut-Médoc,rouge,Merlot
Château Reysson ,05 56 41 99 58,45.2543981,-0.8826295,http://www.dourthe.com/chateau/10-chateau-reysson,France,Vertheuil,33180,Château Reysson ,Haut-Médoc Cru Bourgeois,rouge,Cabernet Sauvignon
Château Reysson ,05 56 41 99 58,45.2543981,-0.8826295,http://www.dourthe.com/chateau/10-chateau-reysson,France,Vertheuil,33180,Château Reysson ,Haut-Médoc Cru Bourgeois,rouge,Merlot
Nektart Wine ,,44.8265672,-0.5862597,https://www.nektartwine.com/fr/acceuil,France,Bordeaux,33000,43 Rue d'Arcachon,Haut-Médoc,rouge,Cabernet Sauvignon
Nektart Wine ,,44.8265672,-0.5862597,https://www.nektartwine.com/fr/acceuil,France,Bordeaux,33000,43 Rue d'Arcachon,Haut-Médoc,rouge,Merlot
Château La Garde,05 56 35 53 00,44.7089892,-0.5417455,http://www.dourthe.com/chateau/7-chateau-la-garde,France,Martillac,33650,1 Chemin la Tour,Pessac-Léognan,rouge,Cabernet Sauvignon
Château La Garde,05 56 35 53 00,44.7089892,-0.5417455,http://www.dourthe.com/chateau/7-chateau-la-garde,France,Martillac,33650,1 Chemin la Tour,Pessac-Léognan,rouge,Merlot
Château La Garde,05 56 35 53 00,44.7089892,-0.5417455,http://www.dourthe.com/chateau/7-chateau-la-garde,France,Martillac,33650,1 Chemin la Tour,Pessac-Léognan,rouge,Cabernet Franc
Château La Garde,05 56 35 53 00,44.7089892,-0.5417455,http://www.dourthe.com/chateau/7-chateau-la-garde,France,Martillac,33650,1 Chemin la Tour,Pessac-Léognan,blanc,Sauvignon
Château La Garde,05 56 35 53 00,44.7089892,-0.5417455,http://www.dourthe.com/chateau/7-chateau-la-garde,France,Martillac,33650,1 Chemin la Tour,Pessac-Léognan,blanc,Sémillon
Château Naudin Larchey,,44.9415733,-0.6098743,,France,Blanquefort,33295,35 Rue de Bordeaux Parempuyre – CS80004,Pessac-Léognan,rouge,Cabernet Sauvignon
Château Naudin Larchey,,44.9415733,-0.6098743,,France,Blanquefort,33295,35 Rue de Bordeaux Parempuyre – CS80004,Pessac-Léognan,rouge,Merlot
Château Naudin Larchey,,44.9415733,-0.6098743,,France,Blanquefort,33295,35 Rue de Bordeaux Parempuyre – CS80004,Pessac-Léognan,rouge,Cabernet Franc
Château Naudin Larchey,,44.9415733,-0.6098743,,France,Blanquefort,33295,35 Rue de Bordeaux Parempuyre – CS80004,Pessac-Léognan,blanc,Sauvignon
Château Naudin Larchey,,44.9415733,-0.6098743,,France,Blanquefort,33295,35 Rue de Bordeaux Parempuyre – CS80004,Pessac-Léognan,blanc,Sémillon
Château Rahoul,05 57 97 73 33,44.6879958,-0.428124,http://www.dourthe.com/chateau/15-chateau-rahoul/,France,Portets,33640,4 route Courneau,Graves,rouge,Cabernet Sauvignon
Château Rahoul,05 57 97 73 33,44.6879958,-0.428124,http://www.dourthe.com/chateau/15-chateau-rahoul/,France,Portets,33640,4 route Courneau,Graves,rouge,Merlot
Château Rahoul,05 57 97 73 33,44.6879958,-0.428124,http://www.dourthe.com/chateau/15-chateau-rahoul/,France,Portets,33640,4 route Courneau,Graves,rouge,Cabernet Franc
Château Rahoul,05 57 97 73 33,44.6879958,-0.428124,http://www.dourthe.com/chateau/15-chateau-rahoul/,France,Portets,33640,4 route Courneau,Graves,blanc,Sauvignon
Château Rahoul,05 57 97 73 33,44.6879958,-0.428124,http://www.dourthe.com/chateau/15-chateau-rahoul/,France,Portets,33640,4 route Courneau,Graves,blanc,Sémillon
Château Rahoul,05 57 97 73 33,44.6879958,-0.428124,http://www.dourthe.com/chateau/15-chateau-rahoul/,France,Portets,33640,4 route Courneau,Graves,blanc,Muscadelle
Château Roumieu,05 56 27 16 76,44.6015053,-0.3201797,https://www.chateau-roumieu.fr/,France,Barsac,33720,Pleyguemate,Sauternes,blanc,Sémillon
Dourthe n°1 ,05 57 24 99 26,44.8820583,-0.2123952,http://www.lacavedourthe.com/Domaine/dourthe,France,Saint-Émilion,33330,D243,Bordeaux ,rouge,Cabernet Sauvignon
Dourthe n°1 ,05 57 24 99 26,44.8820583,-0.2123952,http://www.lacavedourthe.com/Domaine/dourthe,France,Saint-Émilion,33330,D243,Bordeaux ,rouge,Merlot
Dourthe n°1 ,05 57 24 99 26,44.8820583,-0.2123952,http://www.lacavedourthe.com/Domaine/dourthe,France,Saint-Émilion,33330,D243,Bordeaux ,rouge,Cabernet Franc
Dourthe n°1 ,05 57 24 99 26,44.8820583,-0.2123952,http://www.lacavedourthe.com/Domaine/dourthe,France,Saint-Émilion,33330,D243,Bordeaux ,rosé,Merlot
Dourthe n°1 ,05 57 24 99 26,44.8820583,-0.2123952,http://www.lacavedourthe.com/Domaine/dourthe,France,Saint-Émilion,33330,D243,Bordeaux ,rosé,Cabernet Sauvignon
Dourthe n°1 ,05 57 24 99 26,44.8820583,-0.2123952,http://www.lacavedourthe.com/Domaine/dourthe,France,Saint-Émilion,33330,D243,Bordeaux ,blanc,Sémillon
Dourthe n°1 ,05 57 24 99 26,44.8820583,-0.2123952,http://www.lacavedourthe.com/Domaine/dourthe,France,Saint-Émilion,33330,D243,Bordeaux ,blanc,Muscadelle
Château Pey La Tour,05 56 68 34 41,44.849174,-0.3980337,http://www.dourthe.com/chateau/14-chateau-pey-la-tour,France,Sallebœuf,33370,32 Avenue de la Tour,Bordeaux Supérieur,rouge,Merlot
Château Pey La Tour,05 56 68 34 41,44.849174,-0.3980337,http://www.dourthe.com/chateau/14-chateau-pey-la-tour,France,Sallebœuf,33370,32 Avenue de la Tour,Bordeaux Supérieur,rouge,Cabernet Franc
Château Pey La Tour,05 56 68 34 41,44.849174,-0.3980337,http://www.dourthe.com/chateau/14-chateau-pey-la-tour,France,Sallebœuf,33370,32 Avenue de la Tour,Bordeaux Supérieur,blanc,Sauvignon
Château Pey La Tour,05 56 68 34 41,44.849174,-0.3980337,http://www.dourthe.com/chateau/14-chateau-pey-la-tour,France,Sallebœuf,33370,32 Avenue de la Tour,Bordeaux Supérieur,blanc,Sémillon
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Bordeaux ,rouge,Cabernet Sauvignon
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Bordeaux ,rouge,Merlot
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Bordeaux ,rouge,Cabernet Franc
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Bordeaux ,rosé,Merlot
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Bordeaux ,rosé,Cabernet Sauvignon
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Bordeaux ,blanc,Sémillon
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Bordeaux ,blanc,Muscadelle
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Entre-deux-mers,blanc,Muscadelle
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Entre-deux-mers,blanc,Sauvignon
Château Castenet ,05 56 61 40 67,44.7284856,0.0437025,https://www.facebook.com/castenet/,France,Auriolles,33790,3 Castanet,Entre-deux-mers,blanc,Sémillon
Château Grimard ,05 53 63 09 83,44.9015289,0.0948925,https://www.facebook.com/Ch%C3%A2teau-les-Grimard-212334108800531/?ref=page_internal,France,Montazeau,24230,Les Grimards,Côtes-de-Bourg,rouge,Merlot
Château Grimard ,05 53 63 09 83,44.9015289,0.0948925,https://www.facebook.com/Ch%C3%A2teau-les-Grimard-212334108800531/?ref=page_internal,France,Montazeau,24230,Les Grimards,Côtes-de-Bourg,blanc, Merlot Blanc
Château Jeandeman,05 57 74 30 52,44.9472564,-0.3051988,,France,Saint-Aignan,33126,Château Jeandeman,Fronsac,rouge,Cabernet Sauvignon
Château Jeandeman,05 57 74 30 52,44.9472564,-0.3051988,,France,Saint-Aignan,33126,Château Jeandeman,Fronsac,rouge,Merlot
Château Jeandeman,05 57 74 30 52,44.9472564,-0.3051988,,France,Saint-Aignan,33126,Château Jeandeman,Fronsac,rouge,Cabernet Franc
Château Laborde,05 57 74 30 52,45.0046258,-0.0537277,http://www.chateaulaborde.com/,France,Saint-Médard-de-Guizières,33230,13 Lieu Dit Laborde,Lalande-de-Pomerol,rouge,Cabernet Sauvignon
Château Laborde,05 57 74 30 52,45.0046258,-0.0537277,http://www.chateaulaborde.com/,France,Saint-Médard-de-Guizières,33230,13 Lieu Dit Laborde,Lalande-de-Pomerol,rouge,Merlot
Château Laborde,05 57 74 30 52,45.0046258,-0.0537277,http://www.chateaulaborde.com/,France,Saint-Médard-de-Guizières,33230,13 Lieu Dit Laborde,Lalande-de-Pomerol,rouge,Cabernet Franc
Château Laborde,05 57 74 30 52,45.0046258,-0.0537277,http://www.chateaulaborde.com/,France,Saint-Médard-de-Guizières,33230,13 Lieu Dit Laborde,Lalande-de-Pomerol,rouge,Malbec
Château Haut Gros Caillou,05 57 24 74 91,44.8614795,-0.2243201,http://www.dourthe.com/chateau/26-chateau-haut-gros-caillou,France,Saint-Sulpice-de-Faleyrens,33330,206 Gros Caillou,Saint-Emilion Grand Cru,rouge,Cabernet Sauvignon
Château Haut Gros Caillou,05 57 24 74 91,44.8614795,-0.2243201,http://www.dourthe.com/chateau/26-chateau-haut-gros-caillou,France,Saint-Sulpice-de-Faleyrens,33330,206 Gros Caillou,Saint-Emilion Grand Cru,rouge,Merlot
Château Haut Gros Caillou,05 57 24 74 91,44.8614795,-0.2243201,http://www.dourthe.com/chateau/26-chateau-haut-gros-caillou,France,Saint-Sulpice-de-Faleyrens,33330,206 Gros Caillou,Saint-Emilion Grand Cru,rouge,Cabernet Franc
Château Grand Barrail Lamarzelle Figeac ,05 57 55 37 00,44.9308398,-0.1377397,http://www.dourthe.com/en/vineyard/4-chateau-grand-barrail-lamarzelle-figeac,France,Saint-Émilion,33330,Route de Libourne D243,Saint-Emilion Grand Cru,rouge,Cabernet Sauvignon
Château Grand Barrail Lamarzelle Figeac ,05 57 55 37 00,44.9308398,-0.1377397,http://www.dourthe.com/en/vineyard/4-chateau-grand-barrail-lamarzelle-figeac,France,Saint-Émilion,33330,Route de Libourne D243,Saint-Emilion Grand Cru,rouge,Merlot
Château Grand Barrail Lamarzelle Figeac ,05 57 55 37 00,44.9308398,-0.1377397,http://www.dourthe.com/en/vineyard/4-chateau-grand-barrail-lamarzelle-figeac,France,Saint-Émilion,33330,Route de Libourne D243,Saint-Emilion Grand Cru,rouge,Cabernet Franc
Château Teyssier,05 57 84 64 22,44.8820583,-0.2123952,,France,Saint-Émilion,33330,SCEA du Château Teyssier Vignonet,Montagne-Saint-Emilion,rouge,Merlot
Château La Fleur Plaisance ,06 88 06 76 43,44.9524093,-0.1534749,,France,Montagne,33570,Montagne Saint Emilion,Montagne-Saint-Emilion,rouge,Merlot
Château de Ricaud ,05 56 35 53 00,44.9329876,-0.6171883,http://www.dourthe.com/chateau/33-chateau-de-ricaud,France,Blanquefort,33295,Groupe CVBG 35 rue de Bordeaux CS80004,Cadillac Côtes de Bordeaux ,blanc,Sémillon
Château de Ricaud ,05 56 35 53 00,44.9329876,-0.6171883,http://www.dourthe.com/chateau/33-chateau-de-ricaud,France,Blanquefort,33295,Groupe CVBG 35 rue de Bordeaux CS80004,Cadillac Côtes de Bordeaux ,blanc,Muscadelle
Château de Ricaud ,05 56 35 53 00,44.9329876,-0.6171883,http://www.dourthe.com/chateau/33-chateau-de-ricaud,France,Blanquefort,33295,Groupe CVBG 35 rue de Bordeaux CS80004,Cadillac Côtes de Bordeaux ,blanc,Sauvignon
Château de Ricaud ,05 56 35 53 00,44.9329876,-0.6171883,http://www.dourthe.com/chateau/33-chateau-de-ricaud,France,Blanquefort,33295,Groupe CVBG 35 rue de Bordeaux CS80004,Loupiac,blanc,Sémillon
Château de Ricaud ,05 56 35 53 00,44.9329876,-0.6171883,http://www.dourthe.com/chateau/33-chateau-de-ricaud,France,Blanquefort,33295,Groupe CVBG 35 rue de Bordeaux CS80004,Loupiac,blanc,Muscadelle
Château de Ricaud ,05 56 35 53 00,44.9329876,-0.6171883,http://www.dourthe.com/chateau/33-chateau-de-ricaud,France,Blanquefort,33295,Groupe CVBG 35 rue de Bordeaux CS80004,Loupiac,blanc,Sauvignon
Château Tourtirac,,44.8928495,-0.0356581,,France,Gardegan et Tourtirac,33350,65 lieu-dit le Bourg,Castillon Côtes de Bordeaux,rouge,Cabernet Sauvignon
Château Tourtirac,,44.8928495,-0.0356581,,France,Gardegan et Tourtirac,33350,65 lieu-dit le Bourg,Castillon Côtes de Bordeaux,rouge,Merlot
Château Tourtirac,,44.8928495,-0.0356581,,France,Gardegan et Tourtirac,33350,65 lieu-dit le Bourg,Castillon Côtes de Bordeaux,rouge,Cabernet Franc
Champagne Canard Duchêne,03 26 61 11 60,49.1535235,4.0811173,https://www.canard-duchene.fr/fr/,France,Ludes,51500,1 rue Edmond Canard,Champagne Brut ,mousseux,Chardonnay
Champagne Canard Duchêne,03 26 61 11 60,49.1535235,4.0811173,https://www.canard-duchene.fr/fr/,France,Ludes,51500,1 rue Edmond Canard,Champagne Brut ,mousseux,Meunier
Champagne Canard Duchêne,03 26 61 11 60,49.1535235,4.0811173,https://www.canard-duchene.fr/fr/,France,Ludes,51500,1 rue Edmond Canard,Blanc de Blancs,mousseux,Chardonnay
Champagne Canard Duchêne,03 26 61 11 60,49.1535235,4.0811173,https://www.canard-duchene.fr/fr/,France,Ludes,51500,1 rue Edmond Canard,Blancs de Noirs,mousseux,Meunier
Champagne Thiénot,03 26 77 50 10,49.2147724,4.0739623,http://www.thienot.com/contact-et-acces,France,Taissy,51500,4 rue Joseph Cugnot,Champagne Brut ,mousseux,Chardonnay
Champagne Thiénot,03 26 77 50 10,49.2147724,4.0739623,http://www.thienot.com/contact-et-acces,France,Taissy,51500,4 rue Joseph Cugnot,Champagne Brut ,mousseux,Meunier
Champagne Thiénot,03 26 77 50 10,49.2147724,4.0739623,http://www.thienot.com/contact-et-acces,France,Taissy,51500,4 rue Joseph Cugnot,Blanc de Blancs,mousseux,Chardonnay
Champagne Thiénot,03 26 77 50 10,49.2147724,4.0739623,http://www.thienot.com/contact-et-acces,France,Taissy,51500,4 rue Joseph Cugnot,Blancs de Noirs,mousseux,Meunier
Domaine Marc Kreydenweiss (Biodynamie),03 88 08 95 83,48.388355,7.4133311,http://www.kreydenweiss.com/,France,Andlau,67140,12 Rue Deharbe,Alsace Riesling,blanc,Riesling 
